Class	ID	Text
review-article	NEC301163	Chapter 8: Adequacy of Haemodialysis in UK Renal Centres in 2008: national and centre-specific analyses Chapter 8: Adequacy of Haemodialysis in UK Renal Centres in 2008: national and centre-specific analyses Background: Outcome in patients treated with haemodialysis (HD) is influenced by the delivered dose of dialysis. The UK Renal Association (RA) publishes Clinical Practice Guidelines which include recommendations for dialysis dose. The urea reduction ratio (URR) is a widely used measure of dialysis dose. Aim: To determine the extent to which patients received the recommended dose of HD in the UK. Methods: Seventy-two renal centres in the UK submit data electronically to the UK Renal Registry (UKRR). Two groups of patients were included in the analyses: the prevalent patient population on 31st December 2008 and the incident patient population for 2008. Centres returning data on &
review-article	NEC301164	Chapter 9: Anaemia Variables in UK Adult Dialysis Patients in 2008: national and centre-specific analyses Chapter 9: Anaemia Variables in UK Adult Dialysis Patients in 2008: national and centre-specific analyses Background: The UK Renal Association (RA) and National Institute for Health and Clinical Excellence (NICE) have published Clinical Practice Guidelines which include recommendations for management of anaemia in established renal failure. Aims: To determine the extent to which the guidelines for anaemia management are met in the UK. Methods: Quarterly data (haemoglobin (Hb) and factors that influence Hb) extracts from renal centres in England, Wales, Northern Ireland (EWNI), and annual data from the Scottish Renal Registry for incident and prevalent renal replacement therapy (RRT) cohorts for 2008 were analysed by the UK Renal Registry (UKRR). Results: In the UK, in 2008 57% of patients commenced dialysis therapy with Hb &
review-article	NEC301233	Chapter 10: Biochemistry Profile of Patients Receiving Dialysis in the UK in 2008: national and centre-specific analyses Chapter 10: Biochemistry Profile of Patients Receiving Dialysis in the UK in 2008: national and centre-specific analyses Introduction: The UK Renal Association Clinical Practice Guidelines include clinical performance measures for biochemical parameters in dialysis patients [1]. The UK Renal Registry (UKRR) annually audits dialysis centre performance against these measures as part of its role in promoting continuous quality improvement. Methods: Cross sectional performance analyses were undertaken to compare dialysis centre achievement of clinical performance measures for prevalent haemodialysis (HD) and peritoneal dialysis (PD) cohorts in 2008. The biochemical variables studied were phosphate, adjusted calcium, calcium phosphate product, parathyroid hormone, bicarbonate, total cholesterol and HbA1c. In addition, longitudinal analyses were performed (2000–2008) to show changes in achievement of clinical performance measures over time. Results: Serum phosphate was between 1.1 and 1.8 mmol/L in 55% of HD and 64% of PD patients, which was similar to 2007. There was a fall in overall mean phosphate concentration to 1.55 mmol/L. A revised adjusted serum calcium target of 2.2–2.5 mmol/L was achieved by 63% of HD and 65% of PD patients. For comparison, the previous target of 2.2–2.6 mmol/L was achieved by 74% and 78% respectively, a figure little changed since 2005. The downward trend in serum calcium results evident for the previous nine years appears to have halted. The calcium phosphate target of &
review-article	NEC301234	Chapter 11: Blood Pressure Profile of Prevalent Patients Receiving Dialysis in the UK in 2008: national and centre-specific analyses Chapter 11: Blood Pressure Profile of Prevalent Patients Receiving Dialysis in the UK in 2008: national and centre-specific analyses Introduction: The UK Renal Registry (UKRR) assesses blood pressure (BP) control annually for patients receiving renal replacement therapy (RRT) at renal centres in England, Wales and Northern Ireland. Methods: Patients alive and receiving RRT on 31st December 2008 with a BP reading in either the fourth or third quarter of 2008 were included. Summary statistics were calculated for each renal centre, nation and primary renal disease (PRD) category. Longitudinal analyses were performed to assess the long-term impact of treatment modality and PRD on BP control for incident and prevalent patients. Results: In 2008, only 26.3% of peritoneal dialysis (PD) and 27.4% of transplant (Tx) patients achieved the Renal Association (RA) guidelines standard of BP &
review-article	NEC301235	Chapter 12: Epidemiology of Methicillin Resistant Staphylococcus Aureus Bacteraemia Amongst Patients Receiving Dialysis for Established Renal Failure in England in 2008: a joint report from the UK Renal Registry and the Health Protection Agency Chapter 12: Epidemiology of Methicillin Resistant Staphylococcus Aureus Bacteraemia Amongst Patients Receiving Dialysis for Established Renal Failure in England in 2008: a joint report from the UK Renal Registry and the Health Protection Agency Background: From April 2007, all centres providing renal replacement therapy in England were asked to provide additional data on patients with Methicillin Resistant Staphylococcus aureus (MRSA) bacteraemia using a secure web based system established to capture data for the mandatory surveillance of MRSA bacteramia. Results: From April 2008 until March 2009 171 discrete episodes of MRSA bacteraemia were identified from the Health Protection Agency database as being potentially associated with patients in established renal failure (ERF) requiring dialysis. Of 171 records, 18 records were rejected by renal centres as not being associated with patients on dialysis or as being duplicates of other records. Following data validation by centres, 139 patients had vascular access documented (no episodes of bacteraemia were recorded amongst patients receiving peritoneal dialysis). Of these patients, 30.2% were utilising an arteriovenous fistula or graft and 69.8% were dialysing on a nontunnelled or tunnelled venous catheter. Two of the patients on arteriovenous fistulae had used venous catheters in the prior 28 days. Eleven patients had more than one episode in the year and accounted for 30 (20%) of the episodes of MRSA bacteraemia. Overall there was a reduction of 22% in episodes from the previous year. The median centre-specific rate of MRSA bacteraemia was 0.64 (range 0–3.49) episodes per 100 haemodialysis patients per year, and 0.55 (range 0–2.89) episodes per 100 dialysis (haemodialysis and peritoneal dialysis combined) patients per year. Conclusions: The rate of MRSA bacteraemia in patients requiring long term dialysis continues to fall within the prevalent dialysis population in England, but there is still marked variation in centrespecific rates.
review-article	NEC301236	"Chapter 13: The UK Renal Registry Advanced CKD Study: frequency of incorrect reporting of date of start of RRT Chapter 13: The UK Renal Registry Advanced CKD Study: frequency of incorrect reporting of date of start of RRT Background: A preliminary review of the UK Renal Registry (UKRR) pre-RRT study data revealed results suggesting that, for some patients, the date of start of renal replacement therapy (RRT), as reported to the UKRR, was incorrect and often significantly later than the true date of start. A more detailed study then aimed to validate a set of criteria to identify patients with an incorrect start date. Methods: Pre-RRT laboratory data were electronically extracted from 8,810 incident RRT patients from 9 UK renal centres. Any patient with a low urea (&lt;15 mmol/L) at the start of RRT or with a substantial improvement in kidney function (either a fall in urea &gt;10 mmol/L or rise in eGFR &gt;2 ml/ min/1.73 m) within the two months prior to RRT were considered to potentially have an incorrect date of start. In 4 selected centres, the electronic patient records of all patients flagged were reviewed to validate these criteria. Results: Of 8,810 patients, 1,616 (18.3%) were flagged by the identification criteria as having a potentially incorrect date of start of RRT, although a single centre accounted for 41% of the total flagged cohort. Of these flagged patients, 61.7% had been assigned an incorrect date of start of haemodialysis (HD), 5.7% had evidence of acute RRT being given before the reported date of start of HD and 9.2% had evidence of starting peritoneal dialysis exchanges prior to the reported date of start. Of those flagged, 10.7% had a correct date of start of RRT. Conclusions: Accurate reporting of RRT episodes is vital for the analysis of time dependent studies such as survival or time to transplantation. A proportion of patients starting RRT were assigned an incorrect start date. In order to improve the accuracy of this reporting the UK Renal Registry must work with renal centres and clinical staff on improving data input for the start of RRT."
review-article	NEC301237	Chapter 14: Demography of the UK Paediatric Renal Replacement Therapy population in 2008 Chapter 14: Demography of the UK Paediatric Renal Replacement Therapy population in 2008 Aims: To describe the demographics of the paediatric RRT population in the UK and analyse changes in demographics with time. Methods: Extraction and analysis of data from the UK Paediatric Renal Registry and the UK Renal Registry (UKRR). Results: The UK paediatric established renal failure (ERF) population in December 2008 was 905 patients. The prevalence under the age of 16 years was 56 per million age related population (pmarp) and the incidence 7.4 pmarp. The incidence and prevalence for South Asian patients was much higher than that of the White and Black populations. Renal dysplasia was the most common cause of ERF accounting for 33% of prevalent cases. Diseases with autosomal recessive inheritance were a common cause of ERF in all ethnic groups, 23.5% of prevalent and 18% of incident cases. Whilst the incidence and prevalence of diseases with autosomal recessive inheritance in the South Asian population was 3 times that of the white population, this was not the sole reason for the increased proportion of South Asian patients with ERF, as diseases with no defined inheritance were twice as common in this ethnic group than in White patients. Prevalent mortality stood at 9.4%. Most deaths were in patients presenting with ERF early in life and mortality varied markedly according to the aetiology of ERF. The proportion with new grafts from living donors has steadily risen to 54%. Children from ethnic minority groups were less likely to have an allograft and living donation was less frequent in this population. For those on dialysis, 56% were receiving peritoneal dialysis. This was the main treatment modality for patients under 4 years of age. Conclusions: The paediatric ERF population continued to expand slowly. Incidence and prevalence rates were stable and similar to other developed nations. The high incidence in patients from ethnic minority groups will lead to a greater proportion of the population being from these groups in time. To maintain the high proportion of engrafted patients it will be necessary to encourage living donation in the ethnic minority population. Case note analysis of the factors involved in mortality would be valuable.
review-article	NEC301238	Chapter 15: Clinical, Haematological and Biochemical Parameters in Patients receiving Renal Replacement Therapy in Paediatric Centres in the UK in 2008: national and centre-specific analyses Chapter 15: Clinical, Haematological and Biochemical Parameters in Patients receiving Renal Replacement Therapy in Paediatric Centres in the UK in 2008: national and centre-specific analyses Background: The British Association for Paediatric Nephrology Registry was established thirteen years ago to analyse data related to renal replacement therapy for children. The registry receives data from the 13 paediatric nephrology centres in the UK. In 2008 the registry was relocated to the UK Renal Registry (UKRR). Aim: To provide centre specific data so that individual centres can reflect on the contribution that their data makes to the national picture and to determine the extent to which their patient parameters meet nationally agreed audit standards for the management of children with established renal failure. Method: Data were submitted to the UKRR for analysis electronically via renal IT systems from 5 centres and on paper-based returns from the remaining centres. Data were analysed to calculate summary statistics and where applicable the percentage achieving an audit standard. The standards used were those set out by the Renal Association and the National Institute for Health and Clinical Excellence. Results: Data were received from all but one centre. Anthropometric data confirmed that children with ERF in the UK are short compared with their peers with no change in recent trends. In the UK as a whole, the control of blood pressure, anaemia and bone biochemistry is suboptimal, but for some parameters these appear to be better in the 2008 cohort than in the 1999–2008 cohort. Conclusions: Key features of this report are the provision of centre specific data and comparison of data to audit standards. It is hoped that this information will provide a basis for discussion and a stimulus to improve the care of children with ERF.
research-article	NEC346105	"Impact of Peripheral Arterial Occlusive Disease on the Development of Contrast Medium-Induced Acute Kidney Injury Impact of Peripheral Arterial Occlusive Disease on the Development of Contrast Medium-Induced Acute Kidney Injury Background/Aims: Contrast medium-induced acute kidney injury (CI-AKI) is an important complication following the use of iodinated contrast media. It accounts for a significant number of hospital-acquired acute kidney injuries and is associated with increased in-hospital and long-term mortality and immense health care costs. We evaluated whether the presence of peripheral arterial occlusive disease (PAD) affects the incidence of CI-AKI following heart catheterization. Methods: The impact of PAD on the frequency of CI-AKI after heart catheterization was analysed in the prospective single-centre Dialysis-versus-Diuresis trial (January 2001 to July 2004). The patients were retrospectively divided into 3 subgroups: patients with coronary heart disease (CHD), patients with PAD and patients without PAD or CHD. Results: 412 patients were included (83.5% men, 29.1% diabetes mellitus, 4.9% ejection fraction &lt;35%). Of these, 251 (60.9%) suffered from CHD but not from PAD, 77 (18.7%) from PAD and 84 (20.4%) had neither CHD nor PAD. After heart catheterization, 49 (11.9 %) patients developed CI-AKI. Patients with PAD suffered significantly more often from CI-AKI than those without PAD (32.7 vs. 16.8%, p = 0.008). Multivariate analyses by logistic regression confirmed PAD to be an independent predictor of a CI-AKI (odds ratio 2.013, 95% confidence interval 1.009-4.016, p = 0.047). The CHD was not significantly associated with CI-AKI. Conclusion: Patients with PAD significantly more often develop a CI-AKI after heart catheterization than those without PAD."
research-article	NEC348509	"The Malnutrition-Inflammation-Depression-Arteriosclerosis Complex Is Associated with an Increased Risk of Cardiovascular Disease and All-Cause Death in Chronic Hemodialysis Patients The Malnutrition-Inflammation-Depression-Arteriosclerosis Complex Is Associated with an Increased Risk of Cardiovascular Disease and All-Cause Death in Chronic Hemodialysis Patients Background: In chronic hemodialysis patients, malnutrition, inflammation, depression and arteriosclerosis are pathogenetically associated suggesting the presence of malnutrition-inflammation-depression-arteriosclerosis (MIDA) complex acting as a risk factor for cardiovascular disease (CVD). Methods: Nutritional status was assessed by serum albumin, subjective global assessment and normalized protein catabolic rate (nPCR). Inflammation was assessed by serum high-sensitivity C-reactive protein (hsCRP). Depression was assessed with the Beck Depression Inventory and DSM-IV criteria. The severity of arteriosclerosis was measured by pulse wave velocity (PWV). Results: Among 81 hemodialysis patients, 44 (54.3%) had malnutrition (albumin &lt;4.0 mg/dl with subjective global assessment score &lt;6 and/or nPCR &lt;1.0) and 39 (48.1%) had inflammation (hsCRP &gt;1 mg/l). The prevalence of depression was 50.6% (n = 41). Fifty-nine (73.8%) had arteriosclerosis (measured PWV &gt; expected PWV based on age/blood pressure/gender adjustment). The severity of the all four individual MIDA components correlated well with each other. The average number of the MIDA complication (MIDA score) was 2.27 ± 1.33. -During the 5-year follow-up, 40 cases of CVD and 26 cases of all-cause death occurred. In Cox analysis adjusted for -previous CVD, age, diabetes, blood pressure, pulse pressure, intradialytic hypotension, B-type natriuretic peptide, -hemoglobin and hemodialysis incompliance, the MIDA score was an independent predictor of CVD and all-cause death: hazard ratio (95% confidence interval); 1.89 (1.13-3.17) and 3.48 (1.32-9.21) for an increase of 1 MIDA score. Conclusions: This study suggests the presence of MIDA complex, which is composed of malnutrition, inflammation, depression and arteriosclerosis. The MIDA complex syndrome was an independent risk factor for CVD and all-cause death in chronic hemodialysis patients."
research-article	NEC348830	"Dalteparin Dosing in High-Flux Haemodialysis and Haemodiafiltration Dalteparin Dosing in High-Flux Haemodialysis and Haemodiafiltration Background: Low-molecular-weight heparins are being increasingly used as an alternative to unfractionated heparin for anticoagulation of the haemodialysis (HD) circuit. Data on dalteparin use in high-flux HD and haemodiafiltration (HDF) are limited. We examined the safety and efficacy of dalteparin in this setting to enable recommendations on the optimal dose range. Methods: This prospective study was conducted in a single dialysis unit. Subjects who had been receiving dalteparin for at least 10 HD sessions were studied. Anti-Xa activity was measured for all subjects at the start of the HD session, at 60 min into HD and at the end of dialysis. Results: 55 subjects were studied. None had detectable anti-Xa activity at the start of the session. Using adequacy criteria based on target anti-Xa activity &gt;0.4 IU/ml at 1 h and &lt;0.4 IU/ml at the end of dialysis, 39 (71%) patients had adequate anticoagulation, 12 (22%) patients were under-anticoagulated and 4 (7%) were over-anticoagulated. The mean dose in the adequately anticoagulated group was 60.7 ± 11.7 IU/kg, in the under-anticoagulated group 39.3 ± 9.6 IU/kg and in the over-anticoagulated group 70.1 ± 14.6 IU/kg. The optimal dose of dalteparin appears to be 60 ± 10 IU/kg, which facilitates the achievement of the target anti-Xa activity in the range of 0.4-0.75 IU/ml at 1 h and &lt;0.4 IU/ml at the session end. Conclusion: Dalteparin is a safe and effective anticoagulant for patients on high-flux HD and HDF. The optimal dose appears to be 60 ± 10 IU/kg. The desirable target range of anti-Xa activity is 0.4-0.75 at 1 h and &lt;0.4 IU/ml at the session end."
research-article	NEC348835	"Socio-Economic Disparities in the Distribution of Cardiovascular Risk in Chronic Kidney Disease Stage 3 Socio-Economic Disparities in the Distribution of Cardiovascular Risk in Chronic Kidney Disease Stage 3 Background/Aims: For most people with chronic kidney disease (CKD), cardiovascular disease (CVD) risk exceeds risk of progression to end-stage renal disease. This study aimed to investigate the distribution of cardiovascular risk in CKD stage 3 by socio-economic status (SES; measured by area deprivation and educational attainment) and CKD diagnosis awareness. Methods: 1,741 patients with CKD 3 recruited from primary-care practices for the Renal Risk in Derby Study were assessed for cardiovascular risk factors. Ten-year cardiovascular risk, estimated using Framingham and QRISK2 risk prediction algorithms in eligible subgroups, was dichotomised at ≥20% (a threshold for clinical action in the UK), and compared by SES and awareness of CKD diagnosis using logistic regression. Results: Patients with lower SES had greater adjusted odd ratios (OR) of smoking, diabetes and previous CVD, but not of central obesity, hypertension, elevated total/high-density-lipoprotein cholesterol ratio or albuminuria. Using Framingham scoring (n = 672), the adjusted OR of having ≥20% 10-year risk were 2.87 [95% confidence interval (CI) 1.41-5.84] in the lowest deprivation quintile compared to the highest, 2.52 (95% CI: 1.52-4.00) in those without qualifications compared to those with qualifications, and 1.54 (95% CI: 1.09-2.17) in those unaware of their CKD diagnosis compared to those aware of it. QRISK2 scoring (n = 1,071) showed a similar association with education status [OR: 2.45 (95% CI: 1.63-3.67)] and lack of CKD awareness [OR: 1.46 (95% CI: 1.05-2.03)], but not with deprivation [OR: 1.12 (95% CI: 0.55-2.27)]. Conclusion: An elevated CVD risk is associated with a lower education status and lack of awareness of CKD diagnosis in people with CKD 3."
research-article	NEC349943	"Uraemic Pruritus: Relief of Itching by Gabapentin and Pregabalin Uraemic Pruritus: Relief of Itching by Gabapentin and Pregabalin Background: Pruritus (skin irritation or itching) is common in patients with chronic kidney disease (CKD) stages 4 and 5. It is associated with disrupted sleep, reduced quality of life, depression and increased mortality. A video of a patient describing the symptoms is at vimeo.com/49458473. Methods: We used gabapentin or pregabalin in 71 consecutive patients, 82% male. 25 had CKD stage 4 or 5, median eGFR = 17, range 9-30; 40 were on haemodialysis; 6 on peritoneal dialysis. Median itch severity score out of 10 = 8, range 6-10; median duration of itching = 6 months, range 0.5-240. Serum calcium ≤2.60 mmol/l (≤10.4 mg/dl) in 87% patients, phosphate ≤1.8 mmol/l (≤5.6 mg/dl) in 75%. 63% had used antihistamines and not gained relief. Starting dose of gabapentin 100 mg after dialysis or daily. Patients intolerant of gabapentin were offered pregabalin, starting dose 25 mg after dialysis or daily. Results: Gabapentin relieved itching in 47 patients (66%). A video of a patient describing the effect is at vimeo.com/49455976. 26 patients (37%) suffered side effects from gabapentin. Of 21 patients who stopped gabapentin due to side effects, 16 started pregabalin. Pregabalin relieved itching in 13 patients (81%). In total, gabapentin or pregabalin relieved itching in 60 patients (85%), median follow-up 2 months (range 1-8 months). Median itch severity out of 10 reduced from 8 to 1. Conclusions: Gabapentin or pregabalin relieved itching in 85% of 71 consecutively treated CKD patients. Patients should be advised about side effects and the drug initiated at a low dose. Patients intolerant of gabapentin may tolerate pregabalin."
systematic-review	NED279334	The Incidence of Myasthenia Gravis: A Systematic Literature Review The Incidence of Myasthenia Gravis: A Systematic Literature Review Background: A systematic review of literature published between 1980 and 2007, on the incidence of myasthenia gravis, was undertaken. Methods: All relevant papers found through searches of Medline, Embase and Science Direct were critically appraised and an assessment was made of the reliability of the reported incidence data. Results: Thirty-one studies were included in the review, the majority of which investigated populations in Europe. The incidence rates reported were between 3.0 and 30.0/1,000,000/year. However, it is thought that the rates at the upper end of this range, reported by the prospective studies, provided the most accurate estimates. Overall, incidence rates have increased over time owing to a greater awareness of the disease and improved methods of diagnosis. Conclusions: The most accurate estimate of incidence of myasthenia gravis was around 30/ 1,000,000/year. The incidence in children and adolescents aged 0–19 years was found to be between 1.0 and 5.0/ 1,000,000/year. The rates presented in this review are likely to be an underestimate of the true incidence rates, as mild cases will have been missed and cases in the elderly will have been misdiagnosed.
systematic-review	NED279335	Incidence of Spinal Cord Injury Worldwide: A Systematic Review Incidence of Spinal Cord Injury Worldwide: A Systematic Review Background: Incidence studies of spinal cord injury (SCI) are important for health-care planning and epidemiological research. This review gives a quantitative update on SCI epidemiology worldwide through a statistical evaluation of incidence rates. Methods: A systematic review was conducted. For each study, the crude rate ratio was calculated and, when possible, age- and gender-adjusted incidence rate ratios with 95% CI were determined by direct adjustment or using Poisson regression. Results: Thirteen studies were included. Annual crude incidence rates in traumatic SCI varied from 12.1 per million in The Netherlands to 57.8 per million in Portugal. Compared to the Portuguese reference study, incidence rates showed a 3-fold variation, with the highest rates in Canada and Portugal. Most traumatic SCI studies showed a bimodal age distribution. The first peak was found in young adults between 15 and 29 years and a second peak in older adults (mostly ≧65 years). Motor vehicle accidents and falls were the most prevalent causes of injury accounting for nearly equal percentages. In contrast, another age pattern in non-traumatic SCI reflected steadily increasing incidence with advancing age. Conclusions: The results show significant variation in SCI incidence with changing epidemiological patterns. A trend towards increased incidence in the elderly was observed, likely due to falls and non-traumatic injury.
review-article	NED302844	"Analyses of Diagnostic Patterns at 30 Alzheimer’s Disease Centers in the US Analyses of Diagnostic Patterns at 30 Alzheimer’s Disease Centers in the US Background: The US Alzheimer’s Disease Centers (ADCs) (n = 30) recently created a uniform data set. We sought to determine which variables were most important in making a diagnosis, and how these differed across ADCs. Methods: A cross-sectional analysis of first visits to ADCs via polytomous logistic regression. We analyzed subjects with complete data (n = 7,555, 89%), and also used multiple imputation to infer missing data. Results: There were 8,495 subjects; 50, 26, and 24% were diagnosed as normal, having mild cognitive impairment (MCI), or mild Alzheimer’s disease [Clinical Dementia Rating (CDR) score &lt;1], respectively. The model using 7,555 subjects was 86% accurate in predicting diagnosis. Important predictors were physician-reported decline and the CDR sum of boxes, followed by 4 cognitive tests (Mini Mental State Examination, Category Fluency Tests, Logical Memory Test, Boston Naming Test). Multiple imputation revealed Trail Making Test B to be additionally important. Consensus versus single-clinician diagnoses were 2–3 times more likely to result in MCI than normal diagnoses. Excluding clinical judgment variables, functional assessment and psychiatric symptoms were important additional predictors; model accuracy remained high (78%). There were significant differences between centers in the use of different cognitive tests in making diagnoses. Conclusions: We recommend creating a hypothetic data set to use across ADCs to improve diagnostic consistency, and a survey on the use of raw or adjusted cognitive test scores by different ADCs."
systematic-review	NED321712	"A Systematic Review of the Incidence and Prevalence of Long-Term Neurological Conditions in the UK A Systematic Review of the Incidence and Prevalence of Long-Term Neurological Conditions in the UK Background: Updated, robust estimates of the incidence and prevalence of rare long-term neurological conditions in the UK are not available. Global estimates may be misrepresentative as disease aetiology may vary by location. Objectives: To systematically review the incidence and prevalence of long-term neurological conditions in the UK since 1988. Search Strategy: Medline (January 1988 to January 2009), Embase (January 1988 to January 2009), CINAHL (January 1988 to January 2009) and Cochrane CENTRAL databases. Selection Criteria: UK population-based incidence/prevalence studies of long-term neurological conditions since 1988. Exclusion criteria included inappropriate diagnoses and incomprehensive case ascertainment. Data Collection and Analysis: Articles were included based on the selection criteria. Data were extracted from articles with ranges of incidence and prevalence reported. Main Results: Eight studies met the criteria (3 on motor neurone disease; 4 on Huntington’s disease; 1 on progressive supranuclear palsy). The incidence of motor neurone disease ranged from 1.06 to 2.4/100,000 person-years. The prevalence ranged from 4.02 to 4.91/100,000. The prevalence of Huntington’s disease ranged from 4.0 to 9.94/100,000. The prevalence of progressive supranuclear palsy ranged from 3.1 to 6.5/100,000. Conclusions: The review updates the incidence/prevalence of long-term neurological conditions. Future epidemiological studies must incorporate comprehensive case ascertainment methods and strict diagnostic criteria."
systematic-review	NED321930	Can Mortality Data Be Used to Estimate Amyotrophic Lateral Sclerosis Incidence? Can Mortality Data Be Used to Estimate Amyotrophic Lateral Sclerosis Incidence? Background: Because studies of the incidence of amyotrophic lateral sclerosis (ALS) have uncertain feasibility and high costs, mortality rates are often used to provide an estimate. We performed a systematic review of the literature concerning mortality related to ALS. We aimed to use well-known criteria of good epidemiological practice to assess the methodological quality of the studies. Methods: A Medline and ScienceDirect literature search was performed to identify studies on ALS mortality published from 1971 to 2009. The literature was examined following 6 criteria. Results: Of the 29 studies examined, almost all presented a clear definition of the population at risk, but 55% of the papers did not report on the accuracy of death certificates, and the use of both ‘underlying’ and ‘contributory’ causes of death was identified in only 41% of cases. When comparing ALS mortality data between calendar dates, the codes from the International Classification of Diseases were consistent overall, except in 3 studies. A majority of articles that compared mortality patterns between geographical regions or ethnic groups discussed the key issues of comparability of health care and equality of access. Overall, among the 29 ALS mortality studies, only 3 complied with all the criteria. In 2 of them, the mortality rates were highly consistent with available incidence data. Conclusion: Only few studies on mortality data followed a high-quality methodology. When studies complied with the criteria, they showed good accuracy with regard to incidence rates. The criteria used in this study could also be used to guide future studies based on mortality data.
systematic-review	NED323953	Stress as a Risk Factor for Multiple Sclerosis Onset or Relapse: A Systematic Review Stress as a Risk Factor for Multiple Sclerosis Onset or Relapse: A Systematic Review Background: Stress has been considered a triggering factor for multiple sclerosis (MS) since the description of the disease by Jean-Martin Charcot. Until our times, many published studies have supported that both MS onset and relapse could be predisposed by psychological stress. This review aims to synthesize existing knowledge of the relationship between psychological stress and MS onset and relapse, focusing mainly on the quality of observational studies. Methods: We hand-searched MEDLINE with the terms ‘stress and multiple sclerosis’, using English language restrictions, from January 1980 to November 2010. We included only observational longitudinal studies. The Newcastle-Ottawa scale proposed by the Cochrane Collaboration was used for assessing the quality of the observational studies. Results: Seventeen publications were analyzed, 5 for MS onset (1 cohort and 4 case-control studies) and 12 for MS relapse (9 cohort and 3 case-control studies). We found a marked heterogeneity in stress measurement that mostly targeted the environmental approach to stress. Only 2 publications used radiological criteria for MS relapse. Quality issues were identified mainly for comparability, meaning that studies failed to control adequately for various triggering and psychosocial factors in the stress-MS relationship. Also, selection and blinding problems were identified in most case-control studies. All studies, with only 2 exceptions, resulted in favor of the stress-MS relationship, but due to marked stress measurement heterogeneity, no secure conclusions could be drawn. Conclusions: Future studies should incorporate a multidisciplinary approach to stress measurement and radiological criteria for MS. We further encourage researchers to test the effect of early life stress and stress management techniques on the clinical course of the disease.
systematic-review	NED327497	The Influence of Design and Definition on the Proportion of General Epilepsy Cohorts with Remission and Intractability The Influence of Design and Definition on the Proportion of General Epilepsy Cohorts with Remission and Intractability Remission while on anti-epileptic drug (AED) therapy and remission off AED are the only prognostic criteria defined by the International League against Epilepsy (ILAE), defining remission as 5 seizure-free years. Prognosis studies in epilepsy have investigated other prognostic categories using different designs and definitions. This systematic review explores factors that explain discrepancies in the proportion of patients reported with commonly studied prognostic categories in general epilepsy cohorts. Thirty publications (reporting 37 studies) were included. The outcome categories were classified as immediate remission (5 studies), remission off medication (7 studies), remission on or off medication (15 studies), intractability (9 studies) and no remission after relapse (1 study). The findings show the importance of qualifying estimates specifically by how they were defined in each study, study design, setting and patient population as these have implications for patient management and counselling. The ILAE should define the outcome measures and terminology to which researchers should be required to adhere in subsequent updates of their guidelines on research related to remission and intractability.
systematic-review	NED334744	"Methodology of the Global and Regional Burden of Stroke Study Methodology of the Global and Regional Burden of Stroke Study Background: Setting priorities for the prevention of stroke requires an empirical understanding of the pattern of disease burden and exposure to major risk factors. In this manuscript we aim to report the methodology of a systematic review of the epidemiological literature on stroke and how this information will be synthesized to produce updated estimates of the global burden of stroke. Methods: We will use multi-state models implemented in the software program DisMod III to estimate age-specific prevalence, incidence, and early case-fatality (defined as either 28-day, 30-day or 1-month case fatality) for stroke by the 21 global burden of disease (GBD) regions as well as by gender and pathological stroke type based on information obtained from a systematic review. We conducted a two-stage search strategy in order to identify studies published between 1980 and 2011 for the GBD stroke review. Eligible studies: (a) distinguished between stroke and transient ischaemic attack (TIA); (b) distinguished between 1st ever and recurrent stroke; (c) reported on age-specific rates; (d) if reported, provided survival status within 28 days, 30 days or 1 month of onset for fatal and non-fatal events; (e) specified methods for ascertaining stroke cases, and (f) described imaging modalities to determine stroke subtypes. Details of included studies were recorded on a detailed data extraction form by trained reviewers. We will gather information on demographics, natural history and clinical outcomes (e.g. Rankin scale, Glasgow Coma Scale), after stroke which will be used to facilitate the estimation of epidemiological parameters. Reporting and methodological quality was rated. Populations were coded as urban, rural, or combined and studies classified as national, sub-national, healthcare system-based, or community level. Studies published in non-English languages were translated and coded centrally. Discussion: In international health research, there is a crucial need for accurate assessment of global health patterns. A thorough GBD reassessment of stroke will ensure that global health policy decisions are based on the most up-to-date, valid and reliable epidemiological information available."
systematic-review	NED336230	Stroke in South Asia: A Systematic Review of Epidemiologic Literature from 1980 to 2010 Stroke in South Asia: A Systematic Review of Epidemiologic Literature from 1980 to 2010 Background: Globally 15 million people have an acute stroke every year and one third of them die secondary to stroke events. Most research on stroke prevention and treatment is done in developed countries, yet more than 85% of strokes occur in developing countries. In particular, stroke remains an underrecognized cause of death and disability in South Asia. Methods: We conducted a systematic review to identify reliable and comparable epidemiological evidence on stroke in South Asia from 1980 to 2010. Publications were screened for eligibility to identify only population-based stroke studies. Results: Of the 71 studies retrieved, only 6 studies from South Asia gave us acceptable estimates of the burden of stroke. Population-based studies from South Asia have stroke prevalence in the range of 45–471 per 100,000. The age-adjusted incidence rate varied from approximately 145 per 100,000 to 262 per 100,000. Rural parts of South Asia have a lower stroke prevalence compared with urban areas. Conclusions: Our review highlights the paucity of research data in South Asia. This must be addressed in order to accurately determine the burden of stroke in South Asia, so that specific policy recommendations can be formulated to combat the stroke epidemic in this region.
